TERITORIJA;KADASTRA_NR;IPASUMA_TIPS;DARIJUMA_SUMMA;KADASTRALA_VERTIBA;PLATIBA;DOM_SK;DOM_SAUC
Carnikavas nov.;80520060831;Zemes nekustams īpašums;25000;12588;0.1863;1;1
Babītes nov.;80480010885;Zemes un ēkas nekustams īpašums;100000;27273;0.1259;1;1
Rīga;01001212096;Zemes nekustams īpašums;14000;26094;0.0741;14;39
Ogres nov.;74010040305;Zemes un ēkas nekustams īpašums;3700;3866;0.0604;1;1
Olaines nov.;80800210725;Zemes nekustams īpašums;1770;1998;0.0708;1;1
Bauskas nov.;40720040327;Zemes un ēkas nekustams īpašums;300;290;0.0696;1;1
Rīga;01000660021;Zemes un ēkas nekustams īpašums;38500;169775;0.17;1;4
Ventspils ;27000280053;Zemes nekustams īpašums;124.52;6783;0.1927;23;1250
Pārgaujas nov.;42740110420;Zemes nekustams īpašums;4235;94;0.1355;1;6
Jēkabpils;56010020525;Zemes nekustams īpašums;4500;4304;0.1209;1;1
Garkalnes nov.;80600080120;Zemes un ēkas nekustams īpašums;200000;100971;0.2;1;2
Daugavpils;05000101911;Zemes un ēkas nekustams īpašums;390;371;0.0052;1;1
Liepāja;17000210141;Zemes un ēkas nekustams īpašums;2500;18185;0.0635;1;21
Rīga;01000200070;Zemes un ēkas nekustams īpašums;260000;2139063;0.1423;1;40
Rīga;01001212025;Zemes nekustams īpašums;10000;174328;0.4655;1;23
Babītes nov.;80480080533;Zemes nekustams īpašums;19200;11952;0.12;;
Babītes nov.;80480031459;Zemes nekustams īpašums;85000;6548;0.0921;1;1
Daugavpils nov.;44860060090;Zemes nekustams īpašums;500;10;0.1085;1;1
Rīga;01000300031;Zemes un ēkas nekustams īpašums;67200;2021526;0.1788;161;5300
Rīga;01000190121;Zemes un ēkas nekustams īpašums;252000;2364415;0.1065;1014;45109
Limbažu nov.;66760132227;Zemes un ēkas nekustams īpašums;11400;11336;0.0788;1;1
Garkalnes nov.;80600030739;Zemes nekustams īpašums;10000;30;0.1526;1;1
Rīga;01000230077;Zemes un ēkas nekustams īpašums;240000;1102344;0.1264;750;13457
Jūrmala;13000071301;Zemes un ēkas nekustams īpašums;19000;1688515;0.3895;88;18483
Jelgava;09000160489;Zemes un ēkas nekustams īpašums;10000;7279;0.0615;1;1
Olaines nov.;80800200331;Zemes nekustams īpašums;1800;1767;0.062;1;1
Olaines nov.;80800020619;Zemes un ēkas nekustams īpašums;11000;10869;0.0656;1;1
Olaines nov.;80800021989;Zemes un ēkas nekustams īpašums;14000;10922;0.0669;1;1
Mārupes nov.;80760120808;Zemes nekustams īpašums;34000;27312;0.3;1;1
Jūrmala;13000081109;Zemes un ēkas nekustams īpašums;618017;1494334;0.3371;2354;43097
Carnikavas nov.;80520051619;Zemes nekustams īpašums;8000;6921;0.1502;1;1
Kokneses nov.;32600130515;Zemes nekustams īpašums;5000;8502;0.1742;1;1
Ādažu nov.;80440020282;Zemes nekustams īpašums;28000;13024;0.5258;1;2
Olaines nov.;80800021376;Zemes un ēkas nekustams īpašums;1000;4726;0.056;1;1
Jūrmala;13000095108;Zemes un ēkas nekustams īpašums;285000;6368512;1.5462;424;90757
Jūrmala;13000149407;Zemes nekustams īpašums;250000;194987;0.3618;1;3
Jelgava;09000270134;Zemes un ēkas nekustams īpašums;8700;18633;0.2007;1;1
Olaines nov.;80800230530;Zemes nekustams īpašums;1860;1757;0.0629;1;1
Dagdas nov.;60420040047;Zemes un ēkas nekustams īpašums;2000;2688;0.2;1;1
Ventspils ;27000111826;Zemes nekustams īpašums;5500;9633;0.1128;1;1
Daugavpils;05000320507;Zemes un ēkas nekustams īpašums;1993;1796;0.0604;1;1
Jelgavas nov.;54620100465;Zemes un ēkas nekustams īpašums;5500;6305;0.13;1;1
Rīga;01000240163;Zemes nekustams īpašums;3419;152688;0.073;4239;189302
Stopiņu nov.;80960020373;Zemes un ēkas nekustams īpašums;1700;430100;1.6609;97;31549
Olaines nov.;80800020735;Zemes nekustams īpašums;12500;6605;0.0619;1;1
Garkalnes nov.;80600041355;Zemes nekustams īpašums;255000;76693;0.1401;1;1
Salaspils nov.;80310090184;Zemes un ēkas nekustams īpašums;8000;97002;0.5939;226;19179
Rīga;01000802316;Zemes nekustams īpašums;500;3064;0.5571;260;101511
Rīga;01000240387;Zemes nekustams īpašums;2746.07;215862;0.2627;23233;277429
Rīga;01000922177;Zemes nekustams īpašums;1300;131576;0.4463;341;33884
Daugavpils;05000200415;Zemes nekustams īpašums;1900;5700;0.1335;1;3
Mārupes nov.;80760071549;Zemes nekustams īpašums;250000;120131;0.1612;1;1
Ogres nov.;74800030835;Zemes nekustams īpašums;7000;2300;0.0578;1;1
Rīga;01000522116;Zemes nekustams īpašums;2500;54284;0.298;1;90
Carnikavas nov.;80520041283;Zemes nekustams īpašums;10650;5856;0.1507;1;1
Salaspils nov.;80310030253;Zemes nekustams īpašums;7000;2523;0.0634;1;1
Rīga;01000702532;Zemes nekustams īpašums;50;10648;0.0189;6265;1200494
Jūrmala;13000161411;Zemes un ēkas nekustams īpašums;320000;301387;0.369;1;1
Saulkrastu nov.;80130020191;Zemes un ēkas nekustams īpašums;80000;32999;0.1355;1;1
Daugavpils nov.;44960030043;Zemes un ēkas nekustams īpašums;7800;7263;1.05;1;1
Rīga;01000340142;Zemes un ēkas nekustams īpašums;43000;608210;0.1343;1;100
Engures nov.;90660060120;Zemes un ēkas nekustams īpašums;120292;107196;0.2128;1;1
Mārupes nov.;80760072237;Zemes nekustams īpašums;250000;144577;0.1577;218;481
Carnikavas nov.;80520050466;Zemes nekustams īpašums;1000;6056;0.1502;1;1
Siguldas nov.;80940040783;Zemes nekustams īpašums;48000;31933;0.1374;1;1
Rīga;01001282101;Zemes un ēkas nekustams īpašums;900;90593;0.3537;16;1479
Rīga;01000992038;Zemes nekustams īpašums;350000;152865;0.238;1;1
Rīga;01000360036;Zemes un ēkas nekustams īpašums;32650;587933;0.1382;61;5000
Ventspils ;27000252440;Zemes nekustams īpašums;3000;1400;0.0246;1;1
Olaines nov.;80800021892;Zemes nekustams īpašums;5660;3907;0.0623;1;1
Saulkrastu nov.;80130030151;Zemes un ēkas nekustams īpašums;219120;81936;0.0843;1;1
Olaines nov.;80800160773;Zemes nekustams īpašums;1240;1719;0.0603;1;1
Carnikavas nov.;80520051629;Zemes nekustams īpašums;7000;8069;0.1501;9;10
Rīga;01001200202;Zemes nekustams īpašums;16000;33633;0.273;1;1
Babītes nov.;80480031434;Zemes nekustams īpašums;59900;5908;0.0831;1;1
Rīga;01000780303;Zemes nekustams īpašums;1250;207198;0.5;3523;587780
Rundāles nov.;40960110007;Zemes un ēkas nekustams īpašums;2134.31;6706;1.03;1;1
Stopiņu nov.;80960050093;Zemes un ēkas nekustams īpašums;1200;270549;0.9998;33;10937
Aglonas nov.;60720080185;Zemes nekustams īpašums;1100;917;3.27;1;2
Rīga;01001110336;Zemes nekustams īpašums;200;42266;0.2309;4354;329045
Rīga;01000570096;Zemes un ēkas nekustams īpašums;120000;52128;0.0749;1;1
Rīga;01000430076;Zemes un ēkas nekustams īpašums;55000;519459;0.1256;88;4055
Rīga;01000220080;Zemes un ēkas nekustams īpašums;52000;1386787;0.0907;1;50
Ventspils ;27000280053;Zemes nekustams īpašums;69.78;6783;0.1927;103;10000
Stopiņu nov.;80960020852;Zemes nekustams īpašums;43000;13219;0.1487;1;1
Pāvilostas nov.;64960050047;Zemes un ēkas nekustams īpašums;6000;9913;3.0001;1;2
Rīga;01000440008;Zemes un ēkas nekustams īpašums;250000;155162;0.2239;1;1
Ogres nov.;74010041014;Zemes nekustams īpašums;400;18;0.0095;1;1
Cēsu nov.;42010062209;Zemes un ēkas nekustams īpašums;16000;14491;0.17;1;1
Priekules nov.;64460030072;Zemes un ēkas nekustams īpašums;6000;4049;0.99;1;1
Rīga;01000250103;Zemes un ēkas nekustams īpašums;16000;255281;0.2066;1;48
Rīga;01000260064;Zemes un ēkas nekustams īpašums;78400;565797;0.08;79;1000
Rīga;01000110108;Zemes un ēkas nekustams īpašums;275000;3020658;0.1163;83;1000
Iecavas nov.;40640140185;Zemes un ēkas nekustams īpašums;600;5975;0.39;0;0
Rīga;01000712402;Zemes nekustams īpašums;39000;23018;0.107;1;1
Daugavpils;05000151108;Zemes un ēkas nekustams īpašums;1600;6693;0.1672;1;4
Rīga;01001210339;Zemes un ēkas nekustams īpašums;130000;76365;0.1057;1;2
Ādažu nov.;80440030055;Zemes un ēkas nekustams īpašums;15000;140094;0.577;502;7129
Rīga;01000370050;Zemes un ēkas nekustams īpašums;30000;458700;0.0845;43;1000
Olaines nov.;80800210849;Zemes un ēkas nekustams īpašums;1100;1752;0.0621;1;1
Olaines nov.;80800022391;Zemes un ēkas nekustams īpašums;61000;53369;0.1069;1;2
Daugavpils;05000313405;Zemes un ēkas nekustams īpašums;1756;1529;0.0509;1;1
Rīga;01000240294;Zemes nekustams īpašums;1232;707307;2.1965;165;94756
Olaines nov.;80800180495;Zemes nekustams īpašums;1000;1733;0.0647;1;2
Rīga;01001232334;Zemes nekustams īpašums;125000;69176;0.1601;1;1
Dundagas nov.;88500190082;Zemes nekustams īpašums;5000;1474;5.92;1;1
Kuldīgas nov.;62010310065;Zemes un ēkas nekustams īpašums;40000;20054;0.0739;1;1
Rīga;01000782323;Zemes nekustams īpašums;540;29709;0.1091;487;26845
Salaspils nov.;80310130204;Zemes un ēkas nekustams īpašums;1250;6947;0.0783;1;2
Amatas nov.;42460090260;Zemes un ēkas nekustams īpašums;270000;49922;0.7032;1;1
Talsu nov.;88540110015;Zemes nekustams īpašums;5000;105;0.97;1;2
Rīga;01000820511;Zemes nekustams īpašums;5700;10328;0.1273;1;1
Jūrmala;13000081802;Zemes nekustams īpašums;159416;260919;0.3644;727;10000
Ķekavas nov.;80700120393;Zemes nekustams īpašums;13500;8611;0.509;1;1
Durbes nov.;64880060063;Zemes nekustams īpašums;427.83;1701;1.43;1;6
Ropažu nov.;80840040414;Zemes nekustams īpašums;2000;1938;0.068;1;1
Valmiera;96010094705;Zemes un ēkas nekustams īpašums;20000;31746;0.0884;1;2
Daugavpils;05000311010;Zemes nekustams īpašums;1200;1562;0.0499;1;1
Rīga;01001256359;Zemes un ēkas nekustams īpašums;32500;73258;0.0527;1;2
Olaines nov.;80800160224;Zemes un ēkas nekustams īpašums;3000;5700;0.0586;1;2
Jūrmala;13000081801;Zemes un ēkas nekustams īpašums;38700;484745;0.3944;28;3525
Olaines nov.;80800080497;Zemes un ēkas nekustams īpašums;1000;37223;0.152;45;2033
Jūrmala;13000081802;Zemes nekustams īpašums;94600;260919;0.3644;667;10000
Olaines nov.;80800070242;Zemes nekustams īpašums;4245;7142;0.12;1;2
Daugavpils;05000080414;Zemes nekustams īpašums;240.22;7682;0.1977;345;12050
Ķeguma nov.;74090040144;Zemes nekustams īpašums;556;279;0.014;1;1
Rīga;01000992244;Zemes nekustams īpašums;1990;137336;0.3861;193;13702
Ķeguma nov.;74090010123;Zemes nekustams īpašums;4300;4296;0.2503;1;1
Jūrmala;13000078212;Zemes un ēkas nekustams īpašums;320000;188427;0.099;1;2
Daugavpils;05000200415;Zemes nekustams īpašums;1900;5700;0.1335;1;3
Aglonas nov.;76420040348;Zemes un ēkas nekustams īpašums;1000;2348;7.1;1;2
Daugavpils nov.;44600041795;Zemes un ēkas nekustams īpašums;2044;830;0.1362;1;1
Olaines nov.;80800021799;Zemes nekustams īpašums;4760;3867;0.0636;1;1
Rīga;01000210063;Zemes un ēkas nekustams īpašums;265000;2674637;0.1715;37;1752
Liepāja;17000330004;Zemes nekustams īpašums;1000;30512;0.134;180;4748
Ropažu nov.;80840180585;Zemes nekustams īpašums;16000;1148;1.08;1;1
Ikšķiles nov.;74940150627;Zemes nekustams īpašums;100;25;0.0653;1;5
Olaines nov.;80800190107;Zemes un ēkas nekustams īpašums;500;5882;0.066;1;1
Jūrmala;13000011323;Zemes nekustams īpašums;8162;30601;0.5027;795;5027
Saulkrastu nov.;80330040272;Zemes un ēkas nekustams īpašums;6000;16572;0.068;1;1
Nīcas nov.;64780190222;Zemes nekustams īpašums;15000;24;0.3472;1;1
Rīga;01000240133;Zemes nekustams īpašums;2000;133410;0.0693;360;21511
Rīga;01000030082;Zemes nekustams īpašums;4000;168615;0.0297;359;14873
Ropažu nov.;80840040390;Zemes nekustams īpašums;2000;1796;0.063;1;1
Limbažu nov.;66760130946;Zemes un ēkas nekustams īpašums;35000;11213;0.0537;1;1
Mērsraga nov.;88780030791;Zemes nekustams īpašums;9000;9531;0.3;1;2
Daugavpils;05000082518;Zemes un ēkas nekustams īpašums;3000;2464;0.0699;1;1
Rīga;01000300031;Zemes un ēkas nekustams īpašums;19730;2019026;0.1788;86;6625
Limbažu nov.;66760131881;Zemes nekustams īpašums;1800;2898;0.06;1;2
Vārkavas nov.;76940020023;Zemes nekustams īpašums;1300;334;0.1194;1;1
Krāslavas nov.;60010010221;Zemes nekustams īpašums;4500;2785;0.1679;1;1
Daugavpils;05000091601;Zemes nekustams īpašums;221.42;12166;0.4221;112;8887
Nīcas nov.;64780190065;Zemes nekustams īpašums;16000;2125;5.7;2;5
Ventspils ;27000030314;Zemes un ēkas nekustams īpašums;21500;17954;0.0217;1;2
Salaspils nov.;80310070342;Zemes nekustams īpašums;2300;2289;0.0803;1;1
Pārgaujas nov.;42740110418;Zemes un ēkas nekustams īpašums;250470;12456;0.2555;1;1
Rīga;01001112055;Zemes nekustams īpašums;50;2291;0.0117;215;16562
Liepāja;17000020297;Zemes un ēkas nekustams īpašums;10000;29341;0.1726;1;2
Rīga;01000240163;Zemes nekustams īpašums;1317.5;152688;0.073;3267;378604
Aizputes nov.;64680110067;Zemes un ēkas nekustams īpašums;3000;2470;0.077;1;1
Olaines nov.;80800150466;Zemes nekustams īpašums;2400;1656;0.0599;1;1
Olaines nov.;80800200332;Zemes nekustams īpašums;1700;1679;0.0589;1;1
Ikšķiles nov.;74940070131;Zemes nekustams īpašums;6000;10607;0.2413;1;2
Rīga;01001232233;Zemes un ēkas nekustams īpašums;3500;11557;0.0711;1;2
Mārupes nov.;80760080407;Zemes nekustams īpašums;942500;984816;0.5;1;2
Babītes nov.;80480080560;Zemes nekustams īpašums;15679.18;12958;0.1301;1;1
Mārupes nov.;80760073105;Zemes nekustams īpašums;51000;16930;0.1214;1;1
Rīga;01001232332;Zemes un ēkas nekustams īpašums;155000;94077;0.1562;1;1
Olaines nov.;80800200388;Zemes nekustams īpašums;1160;1955;0.0686;1;1
Daugavpils nov.;44920020362;Zemes un ēkas nekustams īpašums;20000;2448;0.0608;1;1
Daugavpils;05000080514;Zemes nekustams īpašums;115.25;6333;0.1612;339;19760
Rucavas nov.;64840010145;Zemes nekustams īpašums;5083;5083;0.35;1;1
Olaines nov.;80800170493;Zemes un ēkas nekustams īpašums;1500;8716;0.0806;1;1
Alojas nov.;66170010062;Zemes un ēkas nekustams īpašums;8000;14183;0.1428;1;2
Daugavpils;05000370090;Zemes nekustams īpašums;3000;4268;0.1199;1;1
Daugavpils nov.;44700020346;Zemes un ēkas nekustams īpašums;2300;659;0.0523;1;1
Babītes nov.;80480031429;Zemes nekustams īpašums;63900;5554;0.093;1;1
Rīga;01000340047;Zemes nekustams īpašums;3000;194413;0.1383;62138;10244499
Rucavas nov.;64840150205;Zemes nekustams īpašums;20000;1978;0.5332;1;2
Saldus nov.;84580030111;Zemes un ēkas nekustams īpašums;5000;11692;2.0043;1;1
Rīga;01000262038;Zemes un ēkas nekustams īpašums;31000;4369260;0.4519;81;10000
Iecavas nov.;40640101307;Zemes nekustams īpašums;828;828;0.0647;1;1
Ādažu nov.;80440020219;Zemes nekustams īpašums;5000;16173;0.1765;1;1
Jelgava;09000180498;Zemes un ēkas nekustams īpašums;15050;921;0.3896;1;1
Daugavpils;05000220381;Zemes un ēkas nekustams īpašums;140000;32242;0.0635;1;1
Rīga;01001255325;Zemes un ēkas nekustams īpašums;40000;19616;0.048;1;1
Rīga;01000240387;Zemes nekustams īpašums;2879.27;215862;0.2627;4280;277429
Bauskas nov.;40920010091;Zemes un ēkas nekustams īpašums;853.72;1503;0.059;1;1
Vaiņodes nov.;64920064227;Zemes un ēkas nekustams īpašums;2265.6;1886;0.0851;1;1
Daugavpils;05000048408;Zemes un ēkas nekustams īpašums;2000;16214;0.088;33;100
Olaines nov.;80800210402;Zemes nekustams īpašums;14000;9015;0.061;1;1
Ventspils nov.;98500030119;Zemes un ēkas nekustams īpašums;10000;11147;0.45;1;2
Stopiņu nov.;80960080199;Zemes nekustams īpašums;1000;836;0.0654;1;1
Ventspils ;27000201436;Zemes nekustams īpašums;4000;5149;0.0719;1;1
Nīcas nov.;64780160002;Zemes un ēkas nekustams īpašums;60000;11892;1.27;1;1
Lielvārdes nov.;74130020499;Zemes un ēkas nekustams īpašums;276;108842;0.608;168;23437
Rīga;01000760349;Zemes un ēkas nekustams īpašums;10000;73155;0.1055;0;0
Rīga;01000870193;Zemes un ēkas nekustams īpašums;13000;105004;0.0988;13;250
Līgatnes nov.;42110070087;Zemes nekustams īpašums;3000;1896;0.1258;1;1
Amatas nov.;42460090272;Zemes un ēkas nekustams īpašums;193000;46063;0.4791;1;1
Ventspils nov.;98660080723;Zemes nekustams īpašums;250;1093;0.0549;1;1
Rīga;01000300046;Zemes un ēkas nekustams īpašums;360000;1442352;0.0694;2221;22856
Rīga;01000892172;Zemes nekustams īpašums;2605.83;288675;0.5176;8437;841000
Carnikavas nov.;80520070525;Zemes un ēkas nekustams īpašums;100000;67015;0.1879;1;1
Stopiņu nov.;80960050093;Zemes un ēkas nekustams īpašums;1600;270549;0.9998;506;54685
Rīga;01001254810;Zemes un ēkas nekustams īpašums;13400;13429;0.0629;1;1
Rucavas nov.;64840010125;Zemes un ēkas nekustams īpašums;9800;6881;0.3951;1;1
Alūksnes nov.;36640040084;Zemes nekustams īpašums;77000;11262;37.4;1;1
Rīga;01000680111;Zemes nekustams īpašums;350;36015;0.1808;303;6704
Rīga;01000821176;Zemes nekustams īpašums;7000;5440;0.085;1;1
Rīga;01000822566;Zemes nekustams īpašums;10000;7968;0.1245;1;1
Salaspils nov.;80310090184;Zemes un ēkas nekustams īpašums;8000;97002;0.5939;77;6393
Olaines nov.;80800060253;Zemes un ēkas nekustams īpašums;2902;2902;0.0708;1;1
Daugavpils nov.;44740010278;Zemes un ēkas nekustams īpašums;1405;1405;0.0721;1;1
Limbažu nov.;66760131120;Zemes un ēkas nekustams īpašums;17500;7130;0.0621;1;1
Rucavas nov.;64840110139;Zemes nekustams īpašums;28000;4985;0.9465;1;1
Rīga;01001132310;Zemes nekustams īpašums;95;21084;0.4582;155;61617
Ventspils nov.;98660010073;Zemes nekustams īpašums;7000;221;0.59;1;1
Rīga;01001132200;Zemes un ēkas nekustams īpašums;200;33039;0.2426;169;14122
Olaines nov.;80800200859;Zemes nekustams īpašums;4000;1662;0.0583;1;1
Talsu nov.;88130010065;Zemes un ēkas nekustams īpašums;1000;7843;0.0216;1;1
Olaines nov.;80800190112;Zemes nekustams īpašums;910;1625;0.0594;1;1
Iecavas nov.;40640020036;Zemes nekustams īpašums;500;398;0.056;1;1
Rīga;01000782198;Zemes nekustams īpašums;240;28961;0.1241;4871;576582
Babītes nov.;80880070349;Zemes nekustams īpašums;50;54;0.1393;1;5
Olaines nov.;80800150277;Zemes un ēkas nekustams īpašums;25000;16064;0.1214;1;1
Olaines nov.;80800160605;Zemes nekustams īpašums;1000;1610;0.0565;1;1
Ķekavas nov.;80700110289;Zemes nekustams īpašums;3500;7078;0.2518;1;1
Rīga;01000030081;Zemes nekustams īpašums;5000;214658;0.0398;359;14873
Daugavpils;05000091031;Zemes nekustams īpašums;262.64;2468;0.0741;393;3713
Rīga;01000430139;Zemes un ēkas nekustams īpašums;53000;97091;0.1386;1;1
Alūksnes nov.;36010345736;Zemes nekustams īpašums;72.13;11219;0.9081;82;14759
Rīga;01000360036;Zemes un ēkas nekustams īpašums;28800;587933;0.1382;103;10000
Rīga;01000670554;Zemes nekustams īpašums;220;70725;0.7396;231;73960
Skrīveru nov.;32820100529;Zemes nekustams īpašums;2700;4306;0.6512;1;1
Rīga;01001110400;Zemes un ēkas nekustams īpašums;2000;31464;0.2303;245;13456
Saulkrastu nov.;80330021258;Zemes un ēkas nekustams īpašums;31700;6125;0.0682;1;1
Jūrmala;13000100086;Zemes un ēkas nekustams īpašums;270000;501064;0.2689;8;125
Carnikavas nov.;80520051624;Zemes nekustams īpašums;5000;5284;0.1501;1;1
Rīga;01000932017;Zemes nekustams īpašums;1122;89140;0.2751;256;20345
Rīga;01000260114;Zemes un ēkas nekustams īpašums;45000;3122718;0.3929;47;8000
Rīga;01000802091;Zemes nekustams īpašums;2500;853132;2.2541;260;101511
Jūrmala;13000141312;Zemes nekustams īpašums;105500;103993;0.3045;5072;25375
Rīga;01000862039;Zemes nekustams īpašums;25000;4612079;9.3409;571;133764
Limbažu nov.;66760070407;Zemes un ēkas nekustams īpašums;9500;9387;0.061;1;1
Ventspils ;27000200941;Zemes nekustams īpašums;3000;4621;0.0713;1;1
Olaines nov.;80800040192;Zemes nekustams īpašums;7900;7685;0.1501;1;2
Saulkrastu nov.;80330040216;Zemes un ēkas nekustams īpašums;14000;27864;0.09;1;2
Rēzekne;21000150101;Zemes un ēkas nekustams īpašums;25000;8406;0.1344;1;1
Rīga;01001280076;Zemes un ēkas nekustams īpašums;10000;69339;0.1709;5;18
Rīga;01000240388;Zemes nekustams īpašums;5584.96;262109;0.2924;7617;283762
Salaspils nov.;80310090184;Zemes un ēkas nekustams īpašums;8000;97002;0.5939;227;19179
Daugavpils;05000093001;Zemes nekustams īpašums;164.84;13059;0.4049;241;22377
Mārupes nov.;80760110363;Zemes un ēkas nekustams īpašums;50000;41581;1.2869;1;1
Salaspils nov.;80310131165;Zemes nekustams īpašums;250;6861;0.3895;1;23
Rīga;01000780034;Zemes nekustams īpašums;100;166180;0.7683;3016;539345
Kandavas nov.;90110010879;Zemes nekustams īpašums;3900;2737;0.1617;1;1
Jelgava;09000020110;Zemes un ēkas nekustams īpašums;55000;16738;0.1167;1;1
Pļaviņu nov.;32130011144;Zemes nekustams īpašums;1800;1848;0.1945;1;1
Ventspils ;27000200239;Zemes un ēkas nekustams īpašums;3700;3448;0.0767;1;1
Jelgava;09000050339;Zemes un ēkas nekustams īpašums;3000;26054;0.0565;1;8
Rīga;01000850155;Zemes un ēkas nekustams īpašums;15000;25287;0.0885;1;2
Brocēnu nov.;84250050336;Zemes nekustams īpašums;3000;217;2;1;1
Inčukalna nov.;80640070515;Zemes nekustams īpašums;23000;19131;0.069;1;1
Jelgava;09000160297;Zemes un ēkas nekustams īpašums;3800;3764;0.0659;1;1
Grobiņas nov.;64760020416;Zemes nekustams īpašums;2000;1682;0.059;1;1
Amatas nov.;42460090628;Zemes nekustams īpašums;54000;1395;0.5977;1;1
Aglonas nov.;60720080185;Zemes nekustams īpašums;1100;917;3.27;1;1
Krāslavas nov.;60010010420;Zemes nekustams īpašums;1400;1112;0.0657;2;3
Rīga;01000782217;Zemes nekustams īpašums;1009;97809;0.3551;65;6301
Cēsu nov.;42010040423;Zemes nekustams īpašums;7000;4805;0.1109;1;1
Carnikavas nov.;80520020722;Zemes un ēkas nekustams īpašums;15000;13463;0.1126;1;1
Ķekavas nov.;80700181842;Zemes un ēkas nekustams īpašums;9700;1710;0.06;1;1
Rīga;01000950050;Zemes nekustams īpašums;800;76292;0.4897;23319;2448500
Ventspils ;27000150332;Zemes un ēkas nekustams īpašums;4000;23538;0.0627;1;6
Rīga;01000190121;Zemes un ēkas nekustams īpašums;149000;2364415;0.1065;509;45109
Rīga;01000210026;Zemes un ēkas nekustams īpašums;129000;306782;0.1246;3;200
Babītes nov.;80480010962;Zemes nekustams īpašums;25000;15564;0.1215;1;1
Daugavpils;05000071910;Zemes un ēkas nekustams īpašums;33000;22835;0.2692;1;1
Salaspils nov.;80310090184;Zemes un ēkas nekustams īpašums;8000;97002;0.5939;76;6393
Liepāja;17000120640;Zemes nekustams īpašums;6800;11444;0.1149;1;1
Carnikavas nov.;80520040916;Zemes nekustams īpašums;68000;19953;0.1318;1;1
Ogres nov.;74010040579;Zemes un ēkas nekustams īpašums;10000;22222;0.0702;2;9
Jūrmala;13000265807;Zemes un ēkas nekustams īpašums;8000;25076;0.1215;573;2420
Rīga;01000862107;Zemes nekustams īpašums;350;13578;0.0241;63;2465
Rīga;01000930348;Zemes un ēkas nekustams īpašums;153000;12500593;1.1203;1025;304122
Daugavpils;05000143003;Zemes nekustams īpašums;320;320;0.2079;1;1
Rīga;01000822057;Zemes nekustams īpašums;16000;14106;0.1322;1;1
Rīga;01001180063;Zemes nekustams īpašums;500;162537;0.4163;335;60956
Rīga;01001255548;Zemes un ēkas nekustams īpašums;14400;9174;0.0457;1;1
Rīga;01000600125;Zemes un ēkas nekustams īpašums;1000;3544795;1.1439;1;11439
Ādažu nov.;80440040483;Zemes nekustams īpašums;14000;12644;0.2079;1;1
Daugavpils;05000093803;Zemes nekustams īpašums;133.54;3837;0.1152;341;7163
Liepāja;17000350099;Zemes nekustams īpašums;578.24;6213;0.0364;199;1411
Rīga;01000890620;Zemes nekustams īpašums;3000;981016;1.8245;61;25000
Olaines nov.;80800180252;Zemes nekustams īpašums;1400;795;0.0507;1;1
Rīga;01000230049;Zemes un ēkas nekustams īpašums;15000;613929;0.1549;319;3684
Jūrmala;13000094804;Zemes nekustams īpašums;400000;226802;0.0972;253;972
Aizputes nov.;64680110018;Zemes un ēkas nekustams īpašums;80000;12184;9.7;1;1
Rīga;01001212414;Zemes nekustams īpašums;1000;139343;0.4715;3365;639922
Daugavpils;05000152508;Zemes nekustams īpašums;962;2225;0.128;13;50
Rēzekne;21000100617;Zemes un ēkas nekustams īpašums;20000;13391;0.12;1;1
Jūrmala;13000095108;Zemes un ēkas nekustams īpašums;265000;6368512;1.5462;578;90757
Ādažu nov.;80440090057;Zemes nekustams īpašums;25875;11197;0.1159;1;1
Ādažu nov.;80440090045;Zemes un ēkas nekustams īpašums;2220;381;0.293;1;14
Olaines nov.;80090083503;Zemes nekustams īpašums;2600;5168;0.12;1;2
Rīga;01000612046;Zemes nekustams īpašums;3022.15;41205;0.0905;577;7867
Mārupes nov.;80760010048;Zemes un ēkas nekustams īpašums;782.58;48352;0.4878;225;17659
Rīga;01000822121;Zemes nekustams īpašums;429;22909;0.1171;3238;751967
Olaines nov.;80800211347;Zemes nekustams īpašums;1910;1850;0.0676;1;1
Rīga;01001030140;Zemes nekustams īpašums;281.05;35146;0.2262;563;70404
Rīga;01001256359;Zemes un ēkas nekustams īpašums;32500;73258;0.0527;1;2
Inčukalna nov.;80640080182;Zemes un ēkas nekustams īpašums;12200;6508;0.1972;1;1
Rīga;01001000089;Zemes un ēkas nekustams īpašums;56000;22543;0.1048;1;1
Olaines nov.;80800160640;Zemes nekustams īpašums;400;1744;0.0612;1;1
Jūrmala;13000260146;Zemes nekustams īpašums;1591;1409;0.018;1;1
Rīga;01000892000;Zemes un ēkas nekustams īpašums;24000;1729130;0.365;9;2537
Babītes nov.;80480040745;Zemes un ēkas nekustams īpašums;250000;80044;0.1663;1;1
Liepāja;17000440058;Zemes un ēkas nekustams īpašums;110000;69542;0.0699;1;2
Jūrmala;13000083509;Zemes un ēkas nekustams īpašums;250100;549882;0.1975;73;1975
Daugavpils;05000170405;Zemes nekustams īpašums;1485;2647;0.1034;11;20
Rīga;01001220023;Zemes nekustams īpašums;750;120814;0.3446;6170;993007
Olaines nov.;80800120382;Zemes un ēkas nekustams īpašums;3050;1541;0.0656;1;1
Rīga;01000330080;Zemes un ēkas nekustams īpašums;85000;979697;0.116;1098;29891
